dataset,cs,ov,k,th,total,correct,accuracy
1,200,100,1,0.3,10,3,0.3
1,200,100,1,0.5,10,3,0.3
1,200,100,1,0.7,10,3,0.3
1,200,100,2,0.3,10,3,0.3
1,200,100,2,0.5,10,3,0.3
1,200,100,2,0.7,10,3,0.3
1,200,100,3,0.3,10,3,0.3
1,200,100,3,0.5,10,3,0.3
1,200,100,3,0.7,10,3,0.3
1,200,150,1,0.3,10,3,0.3
1,200,150,1,0.5,10,3,0.3
1,200,150,1,0.7,10,2,0.2
1,200,150,2,0.3,10,3,0.3
1,200,150,2,0.5,10,3,0.3
1,200,150,2,0.7,10,2,0.2
1,200,150,3,0.3,10,2,0.2
1,200,150,3,0.5,10,2,0.2
1,200,150,3,0.7,10,2,0.2
1,200,50,1,0.3,10,4,0.4
1,200,50,1,0.5,10,4,0.4
1,200,50,1,0.7,10,4,0.4
1,200,50,2,0.3,10,4,0.4
1,200,50,2,0.5,10,4,0.4
1,200,50,2,0.7,10,4,0.4
1,200,50,3,0.3,10,4,0.4
1,200,50,3,0.5,10,4,0.4
1,200,50,3,0.7,10,4,0.4
1,400,100,1,0.3,10,1,0.1
1,400,100,1,0.5,10,4,0.4
1,400,100,1,0.7,10,4,0.4
1,400,100,2,0.3,10,3,0.3
1,400,100,2,0.5,10,3,0.3
1,400,100,2,0.7,10,4,0.4
1,400,100,3,0.3,10,4,0.4
1,400,100,3,0.5,10,4,0.4
1,400,100,3,0.7,10,4,0.4
1,400,150,1,0.3,10,1,0.1
1,400,150,1,0.5,10,3,0.3
1,400,150,1,0.7,10,3,0.3
1,400,150,2,0.3,10,3,0.3
1,400,150,2,0.5,10,3,0.3
1,400,150,2,0.7,10,3,0.3
1,400,150,3,0.3,10,3,0.3
1,400,150,3,0.5,10,3,0.3
1,400,150,3,0.7,10,3,0.3
1,400,50,1,0.3,10,0,0.0
1,400,50,1,0.5,10,4,0.4
1,400,50,1,0.7,10,4,0.4
1,400,50,2,0.3,10,4,0.4
1,400,50,2,0.5,10,3,0.3
1,400,50,2,0.7,10,3,0.3
1,400,50,3,0.3,10,4,0.4
1,400,50,3,0.5,10,4,0.4
1,400,50,3,0.7,10,4,0.4
1,600,100,1,0.3,10,1,0.1
1,600,100,1,0.5,10,4,0.4
1,600,100,1,0.7,10,4,0.4
1,600,100,2,0.3,10,4,0.4
1,600,100,2,0.5,10,4,0.4
1,600,100,2,0.7,10,4,0.4
