cs,ov,k,th,accuracy
200,50,1,0.3,0.7
200,50,1,0.5,0.7
200,50,1,0.7,0.7
200,50,2,0.3,0.7
200,50,2,0.5,0.7
200,50,2,0.7,0.7
200,50,3,0.3,0.7
200,50,3,0.5,0.7
200,50,3,0.7,0.7
200,100,1,0.3,0.7
200,100,1,0.5,0.8
200,100,1,0.7,0.8
200,100,2,0.3,0.9
200,100,2,0.5,0.9
200,100,2,0.7,0.8
200,100,3,0.3,0.9
200,100,3,0.5,0.9
200,100,3,0.7,0.8
200,150,1,0.3,0.7
200,150,1,0.5,0.7
200,150,1,0.7,0.7
200,150,2,0.3,0.9
200,150,2,0.5,0.9
200,150,2,0.7,0.7
200,150,3,0.3,0.7
200,150,3,0.5,0.7
200,150,3,0.7,0.7
400,50,1,0.3,0.6
400,50,1,0.5,0.6
400,50,1,0.7,1.0
400,50,2,0.3,1.0
400,50,2,0.5,1.0
400,50,2,0.7,1.0
400,50,3,0.3,1.0
400,50,3,0.5,1.0
400,50,3,0.7,1.0
400,100,1,0.3,0.9
400,100,1,0.5,1.0
400,100,1,0.7,1.0
400,100,2,0.3,1.0
400,100,2,0.5,1.0
400,100,2,0.7,1.0
400,100,3,0.3,1.0
400,100,3,0.5,1.0
400,100,3,0.7,1.0
400,150,1,0.3,0.9
400,150,1,0.5,1.0
400,150,1,0.7,1.0
400,150,2,0.3,1.0
400,150,2,0.5,1.0
400,150,2,0.7,1.0
400,150,3,0.3,1.0
400,150,3,0.5,1.0
400,150,3,0.7,1.0
600,50,1,0.3,0.9
600,50,1,0.5,0.9
600,50,1,0.7,0.9
600,50,2,0.3,1.0
600,50,2,0.5,1.0
600,50,2,0.7,0.9
600,50,3,0.3,0.9
600,50,3,0.5,0.9
600,50,3,0.7,0.9
600,100,1,0.3,1.0
600,100,1,0.5,1.0
600,100,1,0.7,1.0
600,100,2,0.3,1.0
600,100,2,0.5,1.0
600,100,2,0.7,1.0
600,100,3,0.3,1.0
600,100,3,0.5,1.0
600,100,3,0.7,1.0
600,150,1,0.3,0.9
600,150,1,0.5,1.0
600,150,1,0.7,1.0
600,150,2,0.3,1.0
600,150,2,0.5,1.0
600,150,2,0.7,1.0
600,150,3,0.3,1.0
600,150,3,0.5,1.0
600,150,3,0.7,1.0
