Country Name,Country Code,Indicator Name,2022,2023,2024
Aruba,ABW,"GDP per capita, PPP (constant 2021 international $)",38877.67444,40516.80856,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2021 international $)",3974.244214,3948.142721,3968.963751
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",1981.710168,1983.81262,
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2021 international $)",4825.13824,4872.768001,4961.663996
Angola,AGO,"GDP per capita, PPP (constant 2021 international $)",7397.486427,7250.402699,7344.145379
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",17112.93794,17992.0507,18920.89426
Andorra,AND,"GDP per capita, PPP (constant 2021 international $)",63913.38351,64631.29639,65928.3072
Arab World,ARB,"GDP per capita, PPP (constant 2021 international $)",16877.37576,16752.20997,16670.67106
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2021 international $)",68867.82593,68577.54056,68584.65492
Argentina,ARG,"GDP per capita, PPP (constant 2021 international $)",27627.96348,27104.98,26547.05034
Armenia,ARM,"GDP per capita, PPP (constant 2021 international $)",17886.17839,19402.75109,20078.7849
American Samoa,ASM,"GDP per capita, PPP (constant 2021 international $)",,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2021 international $)",27941.78515,28474.04442,29561.80743
Australia,AUS,"GDP per capita, PPP (constant 2021 international $)",59883.64704,60461.1564,60082.00579
Austria,AUT,"GDP per capita, PPP (constant 2021 international $)",65661.45219,64394.09052,63314.46279
Azerbaijan,AZE,"GDP per capita, PPP (constant 2021 international $)",21051.24424,21310.73866,22072.10583
Burundi,BDI,"GDP per capita, PPP (constant 2021 international $)",829.3871596,828.5829499,835.6208592
Belgium,BEL,"GDP per capita, PPP (constant 2021 international $)",62744.203,62920.64443,63083.18437
Benin,BEN,"GDP per capita, PPP (constant 2021 international $)",3588.325199,3721.212548,3901.325885
Burkina Faso,BFA,"GDP per capita, PPP (constant 2021 international $)",2466.053314,2482.072253,2547.932644
Bangladesh,BGD,"GDP per capita, PPP (constant 2021 international $)",7888.163891,8242.39799,8486.784957
Bulgaria,BGR,"GDP per capita, PPP (constant 2021 international $)",32435.0146,33141.84442,34085.1953
Bahrain,BHR,"GDP per capita, PPP (constant 2021 international $)",57572.99798,57819.90518,59129.14068
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2021 international $)",34342.79041,35221.31027,36244.03605
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2021 international $)",19298.18116,19804.98412,20429.70073
Belarus,BLR,"GDP per capita, PPP (constant 2021 international $)",26537.50831,27782.43801,29037.52914
Belize,BLZ,"GDP per capita, PPP (constant 2021 international $)",12569.81794,12455.29607,13277.93527
Bermuda,BMU,"GDP per capita, PPP (constant 2021 international $)",98145.16894,103052.3484,105322.9112
Bolivia,BOL,"GDP per capita, PPP (constant 2021 international $)",9681.70743,9843.970142,9844.276852
Brazil,BRA,"GDP per capita, PPP (constant 2021 international $)",18554.04618,19079.81221,19647.90963
Barbados,BRB,"GDP per capita, PPP (constant 2021 international $)",18469.57659,19224.46212,19945.73719
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2021 international $)",76357.8291,76616.70148,79184.09204
Bhutan,BTN,"GDP per capita, PPP (constant 2021 international $)",14061.31203,14645.26563,
Botswana,BWA,"GDP per capita, PPP (constant 2021 international $)",18647.37346,18932.48027,18068.50507
Central African Republic,CAF,"GDP per capita, PPP (constant 2021 international $)",1136.801711,1132.676434,1111.653312
Canada,CAN,"GDP per capita, PPP (constant 2021 international $)",58321.06118,57517.44316,56691.90701
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2021 international $)",41867.60559,42171.75586,43045.93808
Switzerland,CHE,"GDP per capita, PPP (constant 2021 international $)",82777.29358,82302.04918,82026.40873
Channel Islands,CHI,"GDP per capita, PPP (constant 2021 international $)",,,
Chile,CHL,"GDP per capita, PPP (constant 2021 international $)",29569.47755,29563.67802,30182.78712
China,CHN,"GDP per capita, PPP (constant 2021 international $)",21499.38228,22687.07587,23845.61972
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2021 international $)",6272.263958,6511.751103,6733.154024
Cameroon,CMR,"GDP per capita, PPP (constant 2021 international $)",4843.650382,4870.570765,4919.141669
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (constant 2021 international $)",1385.464727,1456.482368,1504.14374
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2021 international $)",6205.105041,6172.287767,6181.470533
Colombia,COL,"GDP per capita, PPP (constant 2021 international $)",18458.72095,18382.99768,18503.6706
Comoros,COM,"GDP per capita, PPP (constant 2021 international $)",3478.173468,3516.481593,3567.513865
Cabo Verde,CPV,"GDP per capita, PPP (constant 2021 international $)",8850.106692,9280.97926,9907.588475
Costa Rica,CRI,"GDP per capita, PPP (constant 2021 international $)",24831.71935,25979.62862,26973.43616
Caribbean small states,CSS,"GDP per capita, PPP (constant 2021 international $)",26908.7521,29498.91447,33843.34144
Cuba,CUB,"GDP per capita, PPP (constant 2021 international $)",,,
Curacao,CUW,"GDP per capita, PPP (constant 2021 international $)",27587.2448,27675.57213,
Cayman Islands,CYM,"GDP per capita, PPP (constant 2021 international $)",76359.09088,78109.35066,
Cyprus,CYP,"GDP per capita, PPP (constant 2021 international $)",51591.41406,52193.875,53255.52344
Czechia,CZE,"GDP per capita, PPP (constant 2021 international $)",48390.66168,47509.52384,47961.80951
Germany,DEU,"GDP per capita, PPP (constant 2021 international $)",62931.96841,62686.54085,62829.796
Djibouti,DJI,"GDP per capita, PPP (constant 2021 international $)",6180.679986,6545.103341,6841.166532
Dominica,DMA,"GDP per capita, PPP (constant 2021 international $)",17550.80099,18278.22534,18739.36404
Denmark,DNK,"GDP per capita, PPP (constant 2021 international $)",70233.64023,71454.52091,73709.00184
Dominican Republic,DOM,"GDP per capita, PPP (constant 2021 international $)",22986.95808,23282.48951,24229.46812
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",14782.2003,15159.32424,15442.12445
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (constant 2021 international $)",18599.49289,19521.59047,20452.1532
Early-demographic dividend,EAR,"GDP per capita, PPP (constant 2021 international $)",11314.03121,11768.38213,12111.96375
East Asia & Pacific,EAS,"GDP per capita, PPP (constant 2021 international $)",22097.72115,23016.8278,23953.91824
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (constant 2021 international $)",21980.627,23256.37005,24005.29384
Europe & Central Asia,ECS,"GDP per capita, PPP (constant 2021 international $)",43268.83771,43956.56446,44689.60268
Ecuador,ECU,"GDP per capita, PPP (constant 2021 international $)",14186.63885,14343.01901,13935.53911
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2021 international $)",16360.39078,16691.3874,16798.15158
Euro area,EMU,"GDP per capita, PPP (constant 2021 international $)",55902.28642,55940.12937,56326.2666
Eritrea,ERI,"GDP per capita, PPP (constant 2021 international $)",,,
Spain,ESP,"GDP per capita, PPP (constant 2021 international $)",46649.56354,47341.17179,48373.04557
Estonia,EST,"GDP per capita, PPP (constant 2021 international $)",43690.41423,41706.51961,41546.12019
Ethiopia,ETH,"GDP per capita, PPP (constant 2021 international $)",2655.592767,2757.959236,2884.264607
European Union,EUU,"GDP per capita, PPP (constant 2021 international $)",53686.72159,53779.63695,54291.14956
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (constant 2021 international $)",5066.989634,5068.155671,5053.443068
Finland,FIN,"GDP per capita, PPP (constant 2021 international $)",57068.30565,56246.44315,55628.68151
Fiji,FJI,"GDP per capita, PPP (constant 2021 international $)",12762.34664,13652.49099,14104.44358
France,FRA,"GDP per capita, PPP (constant 2021 international $)",53691.61749,54017.87417,54464.98167
Faroe Islands,FRO,"GDP per capita, PPP (constant 2021 international $)",69370.95458,70428.9631,
"Micronesia, Fed. Sts.",FSM,"GDP per capita, PPP (constant 2021 international $)",3813.338308,3814.169677,3823.60411
Gabon,GAB,"GDP per capita, PPP (constant 2021 international $)",18662.0498,18702.69052,18923.09005
United Kingdom,GBR,"GDP per capita, PPP (constant 2021 international $)",52982.17492,52502.91533,52517.98486
Georgia,GEO,"GDP per capita, PPP (constant 2021 international $)",20966.52804,22590.52936,25000.63264
Ghana,GHA,"GDP per capita, PPP (constant 2021 international $)",6728.45414,6808.537752,7061.934028
Gibraltar,GIB,"GDP per capita, PPP (constant 2021 international $)",,,
Guinea,GIN,"GDP per capita, PPP (constant 2021 international $)",3792.010688,3904.823955,4028.483474
"Gambia, The",GMB,"GDP per capita, PPP (constant 2021 international $)",2863.180499,2932.280596,3030.974084
Guinea-Bissau,GNB,"GDP per capita, PPP (constant 2021 international $)",2564.424072,2619.413537,2685.617428
Equatorial Guinea,GNQ,"GDP per capita, PPP (constant 2021 international $)",16932.77068,15688.23842,15454.42849
Greece,GRC,"GDP per capita, PPP (constant 2021 international $)",35906.61277,36854.5044,37752.63212
Grenada,GRD,"GDP per capita, PPP (constant 2021 international $)",16386.46234,17128.69639,17742.17557
Greenland,GRL,"GDP per capita, PPP (constant 2021 international $)",70681.22539,71037.53722,
Guatemala,GTM,"GDP per capita, PPP (constant 2021 international $)",12147.9306,12384.94803,12640.88711
Guam,GUM,"GDP per capita, PPP (constant 2021 international $)",,,
Guyana,GUY,"GDP per capita, PPP (constant 2021 international $)",37068.19938,49312.36032,70297.40309
High income,HIC,"GDP per capita, PPP (constant 2021 international $)",56725.61578,57349.40001,58151.32368
"Hong Kong SAR, China",HKG,"GDP per capita, PPP (constant 2021 international $)",64036.66717,64428.73002,66171.35832
Honduras,HND,"GDP per capita, PPP (constant 2021 international $)",6352.587102,6467.880035,6585.855357
Heavily indebted poor countries (HIPC),HPC,"GDP per capita, PPP (constant 2021 international $)",3054.562233,3072.075165,3144.71542
Croatia,HRV,"GDP per capita, PPP (constant 2021 international $)",39864.08168,41137.45307,42633.76668
Haiti,HTI,"GDP per capita, PPP (constant 2021 international $)",3047.651793,2956.462137,2800.661066
Hungary,HUN,"GDP per capita, PPP (constant 2021 international $)",40656.96868,40368.58819,40702.15351
IBRD only,IBD,"GDP per capita, PPP (constant 2021 international $)",16953.06604,17711.90883,18388.59716
IDA & IBRD total,IBT,"GDP per capita, PPP (constant 2021 international $)",13566.23642,14085.37311,14558.54928
IDA total,IDA,"GDP per capita, PPP (constant 2021 international $)",4635.768444,4675.440237,4773.15942
IDA blend,IDB,"GDP per capita, PPP (constant 2021 international $)",5734.610149,5770.129673,5881.306133
Indonesia,IDN,"GDP per capita, PPP (constant 2021 international $)",13334.26539,13889.97491,14470.4372
IDA only,IDX,"GDP per capita, PPP (constant 2021 international $)",4071.101762,4115.713791,4209.874475
Isle of Man,IMN,"GDP per capita, PPP (constant 2021 international $)",,,
India,IND,"GDP per capita, PPP (constant 2021 international $)",8594.391905,9301.756032,9817.070821
Not classified,INX,"GDP per capita, PPP (constant 2021 international $)",,,
Ireland,IRL,"GDP per capita, PPP (constant 2021 international $)",124489.3785,115505.3383,115337.1667
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (constant 2021 international $)",15331.33294,15912.02987,16224.03534
Iraq,IRQ,"GDP per capita, PPP (constant 2021 international $)",13433.39772,13202.32281,12725.04313
Iceland,ISL,"GDP per capita, PPP (constant 2021 international $)",65475.41129,67177.20263,65645.09486
Israel,ISR,"GDP per capita, PPP (constant 2021 international $)",48098.18724,47527.15102,47338.84246
Italy,ITA,"GDP per capita, PPP (constant 2021 international $)",52333.32743,52725.7462,53115.1351
Jamaica,JAM,"GDP per capita, PPP (constant 2021 international $)",10072.04853,10332.05513,10259.99511
Jordan,JOR,"GDP per capita, PPP (constant 2021 international $)",9266.575383,9381.35436,9520.250645
Japan,JPN,"GDP per capita, PPP (constant 2021 international $)",44972.34384,45858.65951,46097.42998
Kazakhstan,KAZ,"GDP per capita, PPP (constant 2021 international $)",33506.26149,34703.23493,35905.44149
Kenya,KEN,"GDP per capita, PPP (constant 2021 international $)",5491.693783,5682.989162,5823.407595
Kyrgyz Republic,KGZ,"GDP per capita, PPP (constant 2021 international $)",6139.777888,6575.775413,7046.310274
Cambodia,KHM,"GDP per capita, PPP (constant 2021 international $)",6458.368149,6695.291948,7011.581469
Kiribati,KIR,"GDP per capita, PPP (constant 2021 international $)",3107.776046,3140.583264,3257.136346
St. Kitts and Nevis,KNA,"GDP per capita, PPP (constant 2021 international $)",29712.68558,30966.33115,31270.68882
"Korea, Rep.",KOR,"GDP per capita, PPP (constant 2021 international $)",49777.9293,50414.20834,
Kuwait,KWT,"GDP per capita, PPP (constant 2021 international $)",51379.88333,47777.40128,45426.9454
Latin America & Caribbean (excluding high income),LAC,"GDP per capita, PPP (constant 2021 international $)",18419.69099,18695.10044,18935.32172
Lao PDR,LAO,"GDP per capita, PPP (constant 2021 international $)",8183.032865,8372.155919,8610.901663
Lebanon,LBN,"GDP per capita, PPP (constant 2021 international $)",11474.75058,11330.26874,
Liberia,LBR,"GDP per capita, PPP (constant 2021 international $)",1578.998371,1616.923734,1658.259994
Libya,LBY,"GDP per capita, PPP (constant 2021 international $)",11456.07681,12478.14346,12275.9105
