Country Name,Country Code,Indicator Name,Indicator Code,2021,2022,2023,2024
Aruba,ABW,"Population, total",SP.POP.TOTL,107700,107310,107359,107624
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,713090928,731821393,750503764,769294618
Afghanistan,AFG,"Population, total",SP.POP.TOTL,40000412,40578842,41454761,42647492
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,485920997,497387180,509398589,521764076
Angola,AGO,"Population, total",SP.POP.TOTL,34532429,35635029,36749906,37885849
Albania,ALB,"Population, total",SP.POP.TOTL,2811666,2777689,2745972,2714617
Andorra,AND,"Population, total",SP.POP.TOTL,78364,79705,80856,81938
Arab World,ARB,"Population, total",SP.POP.TOTL,460646603,471352066,482105978,492579811
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9575152,10074977,10483751,10876981
Argentina,ARG,"Population, total",SP.POP.TOTL,45312281,45407904,45538401,45696159
Armenia,ARM,"Population, total",SP.POP.TOTL,2962300,2969200,2964300,3033500
American Samoa,ASM,"Population, total",SP.POP.TOTL,49225,48342,47521,46765
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92349,92840,93316,93772
Australia,AUS,"Population, total",SP.POP.TOTL,25685412,26014399,26652777,27204809
Austria,AUT,"Population, total",SP.POP.TOTL,8955797,9041851,9131761,9178482
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10137750,10141756,10153958,10202850
Burundi,BDI,"Population, total",SP.POP.TOTL,12965481,13321097,13689450,14047786
Belgium,BEL,"Population, total",SP.POP.TOTL,11586195,11680210,11787423,11876844
Benin,BEN,"Population, total",SP.POP.TOTL,13413417,13759501,14111034,14462724
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,21995243,22509038,23025776,23548781
Bangladesh,BGD,"Population, total",SP.POP.TOTL,167658854,169384897,171466990,173562364
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6507301,6465097,6446596,6444366
Bahrain,BHR,"Population, total",SP.POP.TOTL,1504365,1524693,1577059,1588670
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,396373,397538,399440,401283
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3244907,3204802,3185073,3164253
Belarus,BLR,"Population, total",SP.POP.TOTL,9302585,9228071,9178298,9133712
Belize,BLZ,"Population, total",SP.POP.TOTL,395346,402733,411106,417072
Bermuda,BMU,"Population, total",SP.POP.TOTL,64648,64749,64698,64636
Bolivia,BOL,"Population, total",SP.POP.TOTL,11937360,12077154,12244159,12413315
Brazil,BRA,"Population, total",SP.POP.TOTL,209550294,210306415,211140729,211998573
Barbados,BRB,"Population, total",SP.POP.TOTL,282147,282318,282336,282467
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,451721,455370,458949,462721
Bhutan,BTN,"Population, total",SP.POP.TOTL,775442,780914,786385,791524
Botswana,BWA,"Population, total",SP.POP.TOTL,2401441,2439892,2480244,2521139
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5112100,5098039,5152421,5330690
Canada,CAN,"Population, total",SP.POP.TOTL,38239864,38935934,40083484,41288599
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,100205732,100071871,100175859,100050066
Switzerland,CHE,"Population, total",SP.POP.TOTL,8704546,8777088,8888093,9034102
Channel Islands,CHI,"Population, total",SP.POP.TOTL,166741,167215,167691,168126
Chile,CHL,"Population, total",SP.POP.TOTL,19456334,19553036,19658835,19764771
China,CHN,"Population, total",SP.POP.TOTL,1412360000,1412175000,1410710000,1408975000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,29639736,30395002,31165654,31934230
Cameroon,CMR,"Population, total",SP.POP.TOTL,26915758,27632771,28372687,29123744
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,99148932,102396968,105789731,109276265
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5892183,6035104,6182885,6332961
Colombia,COL,"Population, total",SP.POP.TOTL,51188173,51737944,52321152,52886363
Comoros,COM,"Population, total",SP.POP.TOTL,818174,834188,850387,866628
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,516649,519741,522331,524877
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5059988,5081765,5105525,5129910
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4479167,4497310,4519904,4539060
Cuba,CUB,"Population, total",SP.POP.TOTL,11122168,11059820,11019931,10979783
Curacao,CUW,"Population, total",SP.POP.TOTL,152369,149996,155800,155900
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,70108,71591,73038,74457
Cyprus,CYP,"Population, total",SP.POP.TOTL,1317309,1331370,1344976,1358282
Czechia,CZE,"Population, total",SP.POP.TOTL,10505772,10672118,10864042,10882164
Germany,DEU,"Population, total",SP.POP.TOTL,83196078,83797985,83901923,83510950
Djibouti,DJI,"Population, total",SP.POP.TOTL,1121248,1137096,1152944,1168722
Dominica,DMA,"Population, total",SP.POP.TOTL,67202,66826,66510,66205
Denmark,DNK,"Population, total",SP.POP.TOTL,5856733,5903037,5946952,5976992
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11123476,11230734,11331265,11427557
Algeria,DZA,"Population, total",SP.POP.TOTL,44761099,45477389,46164219,46814308
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2128553744,2133560408,2137527754,2141122258
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3432026092,3470644834,3511607650,3552278604
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2375144416,2379648196,2384479340,2388378491
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,252189631,250840400,249053262,250485944
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,924702975,925061269,925640799,928465742
Ecuador,ECU,"Population, total",SP.POP.TOTL,17682454,17823897,17980083,18135478
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,110957008,112618250,114535772,116538258
Euro area,EMU,"Population, total",SP.POP.TOTL,347207191,348700885,350292725,351125804
Eritrea,ERI,"Population, total",SP.POP.TOTL,3350183,3409447,3470390,3535603
Spain,ESP,"Population, total",SP.POP.TOTL,47443821,47786102,48347910,48807137
Estonia,EST,"Population, total",SP.POP.TOTL,1330932,1348840,1370286,1371986
Ethiopia,ETH,"Population, total",SP.POP.TOTL,122138588,125384287,128691692,132059767
European Union,EUU,"Population, total",SP.POP.TOTL,446227358,447703403,449425965,450185396
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,1016906998,1036390026,1057033168,1081767572
Finland,FIN,"Population, total",SP.POP.TOTL,5541017,5556106,5583911,5637214
Fiji,FJI,"Population, total",SP.POP.TOTL,916711,919422,924145,928784
France,FRA,"Population, total",SP.POP.TOTL,67842811,68065015,68287487,68516699
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,53305,53927,54439,54719
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,111624,112114,112630,113160
Gabon,GAB,"Population, total",SP.POP.TOTL,2376722,2430747,2484789,2538952
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66984000,67604000,68492000,69226000
Georgia,GEO,"Population, total",SP.POP.TOTL,3708610,3712502,3715483,3673850
Ghana,GHA,"Population, total",SP.POP.TOTL,32518665,33149152,33787914,34427414
Gibraltar,GIB,"Population, total",SP.POP.TOTL,36858,37609,38471,39329
Guinea,GIN,"Population, total",SP.POP.TOTL,13710513,14055137,14405468,14754785
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2576010,2636470,2697845,2759988
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2058841,2105529,2153339,2201352
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1758786,1803545,1847549,1892516
Greece,GRC,"Population, total",SP.POP.TOTL,10569207,10436882,10405588,10388805
Grenada,GRD,"Population, total",SP.POP.TOTL,116688,116913,117081,117207
Greenland,GRL,"Population, total",SP.POP.TOTL,56653,56661,56865,56836
Guatemala,GTM,"Population, total",SP.POP.TOTL,17598650,17847877,18124838,18406359
Guam,GUM,"Population, total",SP.POP.TOTL,163730,165180,166506,167777
Guyana,GUY,"Population, total",SP.POP.TOTL,815482,821637,826353,831087
High income,HIC,"Population, total",SP.POP.TOTL,1391839631,1398530204,1408764584,1417871275
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7413100,7346100,7536100,7524100
Honduras,HND,"Population, total",SP.POP.TOTL,10289877,10463872,10644851,10825703
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,870930036,893906294,917304254,941413026
Croatia,HRV,"Population, total",SP.POP.TOTL,3878981,3855641,3859686,3866300
Haiti,HTI,"Population, total",SP.POP.TOTL,11374586,11503606,11637398,11772557
Hungary,HUN,"Population, total",SP.POP.TOTL,9630932,9605074,9592186,9562314
IBRD only,IBD,"Population, total",SP.POP.TOTL,4905534420,4928522353,4952554878,4979720059
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6732972939,6795050443,6858864199,6926456321
IDA total,IDA,"Population, total",SP.POP.TOTL,1827438519,1866528090,1906309321,1946736262
IDA blend,IDB,"Population, total",SP.POP.TOTL,639196319,651895919,664395892,676957651
Indonesia,IDN,"Population, total",SP.POP.TOTL,276758053,278830529,281190067,283487931
IDA only,IDX,"Population, total",SP.POP.TOTL,1188242200,1214632171,1241913429,1269778611
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84106,84132,84165,84160
